Tiempo_Audio,Tiempo_CSV,Azimut_Estimado,Elevacion_Estimada,Azimut_CSV,Elevacion_CSV,Dif_Azimut,Dif_Elevacion,Distancia_Metros
567.7,7m 35.2s,-18,56,-20.502475281299894,58.5925291863411,2.502475281299894,2.5925291863411033,40.83720848296482
567.8,7m 35.3s,-22,54,-19.319355634620194,58.49854238633955,2.6806443653798055,4.498542386339551,40.87055488855601
567.9,7m 35.4s,-16,56,-18.204359863318643,58.380517745769026,2.2043598633186434,2.3805177457690263,40.91266317742331
568.0,7m 35.5s,-20,54,-17.02898852036742,58.257863182783815,2.9710114796325797,4.257863182783815,40.9566996915826
568.1,7m 35.6s,-22,52,-16.125081989145315,58.17122210648683,5.874918010854685,6.17122210648683,40.98797680784733
568.2,7m 35.7s,-16,56,-15.285399278125794,58.057874614907284,0.7146007218742056,2.057874614907284,41.029108829036396
568.3,7m 35.8s,-20,54,-14.687660732920506,57.941294650703504,5.312339267079494,3.9412946507035045,41.071667922581014
568.4,7m 35.9s,-16,56,-14.137965548070099,57.85608128804442,1.862034451929901,1.8560812880444217,41.10293985201663
568.5,7m 36.0s,0,64,-13.757914740246036,57.794245178830174,13.757914740246036,6.205754821169826,41.125719531610024
568.6,7m 36.1s,56,50,-13.504997280425982,57.7632979569316,69.50499728042598,7.763297956931602,41.13714759683743
568.7,7m 36.2s,-4,66,-13.343743850233523,57.738542455686044,9.343743850233523,8.261457544313956,41.14630242565543
568.8,7m 36.3s,10,30,-13.170803482295753,57.69914382077085,23.170803482295753,27.69914382077085,41.16089668653348
568.9,7m 36.4s,-20,54,-13.109765497918346,57.68564841090835,6.890234502081654,3.6856484109083496,41.16590258840848
569.0,7m 36.5s,-16,54,-13.01231501668309,57.679836286236075,2.9876849833169103,3.6798362862360747,41.16805957995541
569.1,7m 36.6s,-16,56,-12.985304271536393,57.670166669843304,3.0146957284636073,1.6701666698433044,41.1716496007993
569.2,7m 36.7s,-24,52,-12.967157246460658,57.66800770575443,11.032842753539342,5.668007705754427,41.17245140111661
569.3,7m 36.8s,-2,54,-12.929277531175615,57.673397293170815,10.929277531175615,3.673397293170815,41.170449973078014
569.4,7m 36.9s,-16,56,-12.927214608964164,57.67103183295588,3.0727853910358363,1.671031832955883,41.17132831999679
569.5,7m 37.0s,-18,52,-12.931918042823384,57.66920296011001,5.0680819571766165,5.669202960110013,41.172007494128
569.6,7m 37.1s,96,28,-12.937575058128573,57.67625996316619,108.93757505812857,29.67625996316619,41.16938714529817
569.7,7m 37.2s,6,30,-12.949371676640055,57.68144637139411,18.949371676640055,27.68144637139411,41.16746198124676
569.8,7m 37.3s,-18,52,-12.961860133062373,57.692710823397924,5.038139866937627,5.692710823397924,41.16328246514149
569.9,7m 37.4s,-18,54,-12.980309552726226,57.6959971178733,5.019690447273774,3.695997117873297,41.16206359158243
570.0,7m 37.5s,2,52,-13.000042933640401,57.69960588218034,15.000042933640401,5.699605882180343,41.160725354385036
570.1,7m 37.6s,-150,18,-13.014380037635306,57.70104356039897,136.9856199623647,39.70104356039897,41.160192290237994
570.2,7m 37.7s,-2,30,-13.03518822575083,57.71038163851106,11.03518822575083,27.71038163851106,41.1567308726279
570.3,7m 37.8s,-2,54,-13.0583612628526,57.72915537318702,11.0583612628526,3.7291553731870195,41.149776936022185
570.4,7m 37.9s,-20,54,-13.058194084556732,57.73277612612815,6.941805915443268,3.732776126128151,41.14843655955375
570.5,7m 38.0s,-2,54,-13.068739041574531,57.735178088044464,11.068739041574531,3.7351780880444636,41.14754750951658
570.6,7m 38.1s,-68,22,-13.076526574006493,57.741460004015245,54.92347342599351,35.741460004015245,41.14522287636582
570.7,7m 38.2s,-18,52,-13.067016989461024,57.74332889106029,4.932983010538976,5.743328891060287,41.14453143784733
570.8,7m 38.3s,4,30,-13.1435109796478,57.75652649448278,17.1435109796478,27.756526494482777,41.13965058270728
570.9,7m 38.4s,4,30,-13.341998878028846,57.78614088634061,17.341998878028846,27.78614088634061,41.1287104786993
571.0,7m 38.5s,-18,52,-13.68143213706,57.86076753812591,4.31856786294,5.860767538125913,41.10121647356207
571.1,7m 38.6s,-22,52,-14.084128791303954,57.921780142133485,7.915871208696046,5.9217801421334855,41.07881721039817
571.2,7m 38.7s,-16,56,-14.571229283483717,57.991619677053635,1.4287707165162828,1.9916196770536345,41.05326441558624
571.3,7m 38.8s,-20,54,-15.238360040898812,58.06636036171238,4.761639959101188,4.066360361712377,41.0260210646422
571.4,7m 38.9s,-22,54,-16.01167889804023,58.17455842680403,5.9883211019597695,4.174558426804033,40.98676978849189
571.5,7m 39.0s,-22,54,-16.86334727177598,58.283412155684324,5.136652728224021,4.283412155684324,40.94750358490002
571.6,7m 39.1s,-22,54,-17.802227825222047,58.40503701256291,4.197772174777953,4.405037012562907,40.903893880879544
571.7,7m 39.2s,-24,54,-18.756684704882105,58.516792496865925,5.243315295117895,4.516792496865925,40.86406690668752
571.8,7m 39.3s,-24,54,-20.01753127742228,58.65219304482292,3.982468722577721,4.652193044822923,40.81612499293278
571.9,7m 39.4s,-26,54,-21.208365835832154,58.77027846785779,4.791634164167846,4.770278467857793,40.77459136091684
572.0,7m 39.5s,-26,54,-22.565490272440286,58.89706993628871,3.434509727559714,4.897069936288709,40.730281999835654
572.1,7m 39.6s,-26,54,-23.998594575015034,59.01164270419798,2.0014054249849664,5.011642704197982,40.690496621328464
572.2,7m 39.7s,-32,52,-25.398940279701975,59.10881408407759,6.601059720298025,7.1088140840775935,40.65694203590402
572.3,7m 39.8s,-32,52,-27.005752486078222,59.184685509523064,4.994247513921778,7.184685509523064,40.63086225135716
572.4,7m 39.9s,-30,54,-28.471954139075365,59.253376493686005,1.5280458609246352,5.253376493686005,40.60734086830271
572.5,7m 40.0s,-30,54,-29.859363473629514,59.3041065267125,0.14063652637048563,5.304106526712502,40.59002464161004
572.6,7m 40.1s,-32,54,-31.489336048614803,59.35520535638484,0.5106639513851974,5.355205356384843,40.572629593550154
572.7,7m 40.2s,-36,52,-33.31923136452738,59.40311891610014,2.6807686354726172,7.403118916100141,40.55636170531606
572.8,7m 40.3s,-38,52,-35.23477917560433,59.39746411708525,2.7652208243956693,7.397464117085249,40.55827950028232
572.9,7m 40.4s,-36,52,-37.02717376859823,59.37621268798834,1.0271737685982316,7.3762126879883425,40.565491964488096
573.0,7m 40.5s,-38,52,-38.97190646765989,59.32036942671367,0.9719064676598919,7.320369426713668,40.58448331006291
573.1,7m 40.6s,-40,52,-41.094048427269,59.23423794706332,1.0940484272690014,7.2342379470633205,40.61388574652098
573.2,7m 40.7s,-42,50,-43.16737025223529,59.123734895238584,1.167370252235287,9.123734895238584,40.65180493135739
573.3,7m 40.8s,-42,52,-44.961182573939084,59.02648968649078,2.961182573939084,7.026489686490777,40.68535859867453
573.4,7m 40.9s,-46,50,-47.15905005964578,58.850829530269905,1.1590500596457787,8.850829530269905,40.746407195166526
573.5,7m 41.0s,-46,50,-49.16435586081275,58.67329957349703,3.164355860812748,8.673299573497033,40.80868235818898
573.6,7m 41.1s,-48,50,-51.129870159480106,58.44918363387876,3.129870159480106,8.44918363387876,40.88813322225089
573.7,7m 41.2s,-48,52,-52.8905531392455,58.22919040453943,4.8905531392454975,6.22919040453943,40.96703480519485
573.8,7m 41.3s,-50,48,-54.36569876078477,58.01465623962197,4.365698760784767,10.01465623962197,41.044856170799584
573.9,7m 41.4s,-50,48,-55.56242401226996,57.83510765175275,5.5624240122699575,9.83510765175275,41.110658092948945
574.0,7m 41.5s,-50,48,-56.73612948974548,57.658813883876476,6.73612948974548,9.658813883876476,41.17586682502693
574.1,7m 41.6s,-50,48,-57.643585123556676,57.50842034661674,7.643585123556676,9.508420346616738,41.231968124315365
574.2,7m 41.7s,-52,48,-58.370537078433586,57.39324964217718,6.3705370784335855,9.393249642177182,41.275226217191694
574.3,7m 41.8s,-52,48,-58.97642039080313,57.325998739843996,6.976420390803128,9.325998739843996,41.30060487281814
574.4,7m 41.9s,-52,48,-59.45276734055619,57.28370143449814,7.452767340556193,9.283701434498141,41.31661188721772
574.5,7m 42.0s,-52,48,-59.67985499058091,57.27106384330748,7.679854990580907,9.27106384330748,41.321401241754174
574.6,7m 42.1s,10,28,-59.981028179725115,57.22893558247737,69.98102817972512,29.22893558247737,41.337389431212536
574.7,7m 42.2s,-52,48,-60.154785902476505,57.21966791938762,8.154785902476505,9.219667919387618,41.34091128267627
574.8,7m 42.3s,-52,48,-60.34955003941735,57.17417408396573,8.349550039417352,9.174174083965731,41.35822402999551
574.9,7m 42.4s,-52,48,-60.44521359425437,57.16486180005223,8.44521359425437,9.164861800052229,41.36177283745771
575.0,7m 42.5s,-54,46,-60.57179976324085,57.148086821834774,6.571799763240847,11.148086821834774,41.368169888981946
575.1,7m 42.6s,-52,48,-60.65441906421026,57.141886794079284,8.65441906421026,9.141886794079284,41.370535636123485
575.2,7m 42.7s,-52,48,-60.70972537291351,57.133867615260534,8.70972537291351,9.133867615260534,41.37359663742507
575.3,7m 42.8s,-52,48,-60.72609690344905,57.12226418496854,8.726096903449047,9.122264184968543,41.37802802067931
575.4,7m 42.9s,-52,48,-60.76544605796141,57.12296525792487,8.765446057961412,9.122965257924868,41.37776020379437
575.5,7m 43.0s,-52,46,-60.82116614313793,57.12012750124889,8.82116614313793,11.120127501248888,41.378844314841096
575.6,7m 43.1s,-54,46,-60.853188970836925,57.11661512671148,6.853188970836925,11.11661512671148,41.38018637008051
575.7,7m 43.2s,10,0,-60.835710195288016,57.10613263579272,70.83571019528802,57.10613263579272,41.38419310340701
575.8,7m 43.3s,-128,16,-60.8283510649872,57.10578219628946,67.1716489350128,41.10578219628946,41.38432708959325
575.9,7m 43.4s,-52,46,-60.86208745496705,57.10401171116078,8.862087454967053,11.10401171116078,41.385004049499535
576.0,7m 43.5s,-52,48,-60.88695466767399,57.10200281643844,8.88695466767399,9.102002816438443,41.385772242003426
576.1,7m 43.6s,-54,44,-60.839555769221704,57.087712500470744,6.839555769221704,13.087712500470744,41.39123908758182
576.2,7m 43.7s,-54,42,-60.843033368284125,57.08605022788105,6.843033368284125,15.086050227881053,41.39187526083024
576.3,7m 43.8s,-50,48,-60.760820832600956,57.089296218422994,10.760820832600956,9.089296218422994,41.39063302880872
576.4,7m 43.9s,-52,46,-60.59179264514586,57.109127582196045,8.591792645145858,11.109127582196045,41.38304812143296
576.5,7m 44.0s,8,30,-60.37507030915799,57.150905693508925,68.37507030915799,27.150905693508925,41.36709454060142
576.6,7m 44.1s,-50,48,-60.00847474777163,57.23470093563413,10.00847474777163,9.23470093563413,41.33519935859648
576.7,7m 44.2s,-50,48,-59.64146222451609,57.31406060227094,9.64146222451609,9.314060602270942,41.30511921143112
576.8,7m 44.3s,-50,48,-59.05380661244487,57.44168273618263,9.053806612444873,9.441682736182628,41.25700339026154
576.9,7m 44.4s,-50,48,-58.484867203795886,57.56770268419193,8.484867203795886,9.567702684191929,41.20980188611527
577.0,7m 44.5s,-50,48,-57.76415594400186,57.69472323611141,7.764155944001857,9.694723236111408,41.16253604462528
577.1,7m 44.6s,-46,50,-57.00066287934152,57.83681349132677,11.000662879341519,7.836813491326772,41.11003003454235
577.2,7m 44.7s,-46,50,-56.05036300606565,58.00376862790507,10.050363006065652,8.003768627905067,41.048828845292654
577.3,7m 44.8s,-46,50,-55.01320435594113,58.172195991746165,9.013204355941127,8.172195991746165,40.98762445235442
577.4,7m 44.9s,-46,50,-53.99074899321758,58.328819544749166,7.990748993217579,8.328819544749166,40.93118989974042
577.5,7m 45.0s,-46,50,-52.63711826511201,58.50161450351804,6.637118265112008,8.501614503518041,40.86946230505378
577.6,7m 45.1s,-42,52,-51.48816992131384,58.64895445589252,9.48816992131384,6.648954455892522,40.81726772236414
577.7,7m 45.2s,-42,50,-50.14086009567984,58.810864215650625,8.140860095679841,8.810864215650625,40.76037579426882
577.8,7m 45.3s,-42,50,-48.66686971339834,58.980767397435365,6.6668697133983414,8.980767397435365,40.70119439765517
577.9,7m 45.4s,-40,52,-47.20529738381924,59.12512347827905,7.205297383819243,7.1251234782790505,40.651327060623096
578.0,7m 45.5s,-38,52,-45.684792683912804,59.259455076676645,7.684792683912804,7.259455076676645,40.60526354248886
578.1,7m 45.6s,-38,52,-43.97460985037554,59.38791112035709,5.974609850375543,7.387911120357089,40.56152065787479
578.2,7m 45.7s,-36,52,-42.35878679425983,59.48978518575285,6.358786794259828,7.489785185752851,40.5270413387799
578.3,7m 45.8s,-34,54,-40.37244730902472,59.58242242495969,6.372447309024722,5.582422424959688,40.49585012500466
578.4,7m 45.9s,-32,54,-38.6310690297893,59.64987210092353,6.631069029789302,5.649872100923531,40.47323634203475
578.5,7m 46.0s,-32,52,-36.73960076540371,59.69799413237946,4.739600765403708,7.697994132379463,40.45715220421201
578.6,7m 46.1s,-32,52,-35.05922129033894,59.72061390920163,3.0592212903389395,7.7206139092016315,40.44960612164179
578.7,7m 46.2s,-30,52,-32.90058760813105,59.71782957835556,2.9005876081310475,7.717829578355563,40.45053449762647
578.8,7m 46.3s,-26,54,-30.8950852738177,59.68957169742934,4.895085273817699,5.6895716974293435,40.459964305808754
578.9,7m 46.4s,-26,54,-28.78310133337689,59.62820359384723,2.783101333376891,5.628203593847232,40.48049225005117
579.0,7m 46.5s,-24,54,-26.898026418071936,59.545839935039396,2.898026418071936,5.545839935039396,40.50814916098312
579.1,7m 46.6s,-24,54,-24.818948668000615,59.41680354701677,0.8189486680006155,5.4168035470167695,40.55172302051999
579.2,7m 46.7s,168,12,-22.985951379287883,59.2778253642105,169.01404862071212,47.2778253642105,40.59898965561011
579.3,7m 46.8s,168,10,-21.24873694354244,59.14523208812538,170.75126305645756,49.14523208812538,40.644410763966924
579.4,7m 46.9s,10,8,-19.34039713319845,58.95398951232615,29.34039713319845,50.95398951232615,40.71048661681987
579.5,7m 47.0s,-22,52,-17.91193248047216,58.78782973157304,4.08806751952784,6.787829731573041,40.768440127107795
579.6,7m 47.1s,170,8,-16.52078917884691,58.590420692496565,173.47921082115306,50.590420692496565,40.83795477275074
579.7,7m 47.2s,-70,32,-15.371027619633367,58.41229181853441,54.62897238036663,26.412291818534413,40.90130136172501
579.8,7m 47.3s,18,12,-14.435387430238393,58.25386054822112,32.43538743023839,46.25386054822112,40.95814151356159
579.9,7m 47.4s,-118,10,-13.756094515012933,58.14190078924225,104.24390548498707,48.14190078924225,40.998593760581116
580.0,7m 47.5s,2,44,-13.177566954617134,58.025905599713305,15.177566954617134,14.025905599713305,41.0407538655591
580.1,7m 47.6s,-170,12,-12.802016869312581,57.95222507214953,157.19798313068742,45.95222507214953,41.06766664843585
580.2,7m 47.7s,2,28,-12.578731182357728,57.90720266644195,14.578731182357728,29.907202666441947,41.0841625134106
580.3,7m 47.8s,-2,58,-12.345382843050857,57.88011055414228,10.345382843050857,0.11988944585772288,41.09410747606109
580.4,7m 47.9s,4,30,-12.145639778752269,57.86015310822668,16.14563977875227,27.860153108226683,41.10144240757336
580.5,7m 48.0s,88,6,-12.076111259751428,57.86387135170498,100.07611125975143,51.86387135170498,41.10007527041029
580.6,7m 48.1s,10,0,-11.961693435547659,57.82584653839745,21.96169343554766,57.82584653839745,41.114068833636196
580.7,7m 48.2s,10,8,-11.902477693405501,57.82589165799016,21.9024776934055,49.82589165799016,41.11405221273484
580.8,7m 48.3s,6,28,-11.843894011727627,57.82639669786252,17.843894011727627,29.82639669786252,41.11386617164899
580.9,7m 48.4s,-2,50,-11.794304202078308,57.825140976931664,9.794304202078308,7.825140976931664,41.114328749458764
581.0,7m 48.5s,-150,18,-11.782873217446337,57.81793566950674,138.21712678255366,39.81793566950674,41.11698359686834
581.1,7m 48.6s,-46,0,-11.761134269164415,57.82068605822321,34.238865730835585,57.82068605822321,41.11597007914984
581.2,7m 48.7s,166,64,-11.726271154250696,57.81799745678652,177.7262711542507,6.182002543213478,41.116960826678515
581.3,7m 48.8s,168,20,-11.762163436970695,57.81399711605835,179.7621634369707,37.81399711605835,41.118435205069694
581.4,7m 48.9s,34,58,-11.754258628385287,57.817315628763964,45.75425862838529,0.18268437123603576,41.11721210175355
581.5,7m 49.0s,8,16,-11.794438350494573,57.83899646106615,19.794438350494573,41.83899646106615,41.10922638682589
581.6,7m 49.1s,154,2,-11.786714900686775,57.843473262309544,165.78671490068677,55.843473262309544,41.10757856322474
581.7,7m 49.2s,174,18,-11.842699028455598,57.844425190791284,174.15730097154437,39.844425190791284,41.107228226222325
581.8,7m 49.3s,168,0,-11.895096017668493,57.84727141591566,179.8950960176685,57.84727141591566,41.1061808369865
581.9,7m 49.4s,170,8,-11.886231846714907,57.84985765176676,178.1137681532851,49.84985765176676,41.10522925606967
582.0,7m 49.5s,168,20,-11.952876491441572,57.84829504827203,179.95287649144154,37.84829504827203,41.105804185901306
582.1,7m 49.6s,166,18,-11.960143500962943,57.848248462245614,177.96014350096294,39.848248462245614,41.10582132704786
582.2,7m 49.7s,8,0,-11.97056350071631,57.84615715595214,19.97056350071631,57.84615715595214,41.106590857752906
582.3,7m 49.8s,174,4,-12.00532966852171,57.85512936907108,173.9946703314783,53.85512936907108,41.1032899735087
582.4,7m 49.9s,-18,54,-12.017684580644527,57.856006140397675,5.982315419355473,3.8560061403976746,41.10296749114125
582.5,7m 50.0s,8,52,-12.02416432017867,57.85838914249478,20.02416432017867,5.858389142494779,41.10209108120101
582.6,7m 50.1s,168,0,-12.066698976764883,57.864170507314704,179.93330102323512,57.864170507314704,41.09996528727377
582.7,7m 50.2s,168,0,-12.080101721581912,57.86891373029001,179.9198982784181,57.86891373029001,41.09822169227431
582.8,7m 50.3s,-6,52,-12.091030293430435,57.865910941004145,6.0910302934304354,5.865910941004145,41.09932545900315
582.9,7m 50.4s,102,54,-12.103539281316955,57.864571055671924,114.10353928131696,3.8645710556719237,41.09981803025216
583.0,7m 50.5s,58,48,-12.119537405518798,57.86725476532952,70.1195374055188,9.86725476532952,41.098831474127444
583.1,7m 50.6s,160,4,-12.170497659179063,57.881530393503404,172.1704976591791,53.881530393503404,41.09358593424349
583.2,7m 50.7s,92,36,-12.18970856124622,57.886456128522795,104.18970856124622,21.886456128522795,41.0917768892116
583.3,7m 50.8s,168,0,-12.17670447259593,57.896802906205444,179.82329552740407,57.896802906205444,41.0879783979541
583.4,7m 50.9s,-6,62,-12.18539059536397,57.89709676785516,6.18539059536397,4.10290323214484,41.08787054579303
583.5,7m 51.0s,-18,54,-12.200822331916783,57.89484807438152,5.799177668083217,3.894848074381521,41.088695895987854
